"GEOID","NAME","year","category","estimate","moe"
"47037016000","Census Tract 160, Davidson County, Tennessee",2009,"Adjacent",17188,8446
"47037016100","Census Tract 161, Davidson County, Tennessee",2009,"Adjacent",18333,3054
"47037016200","Census Tract 162, Davidson County, Tennessee",2009,"Adjacent",19526,5183
"47037016300","Census Tract 163, Davidson County, Tennessee",2009,"Adjacent",24877,8265
"47037016400","Census Tract 164, Davidson County, Tennessee",2009,"Adjacent",24056,4913
"47037016500","Census Tract 165, Davidson County, Tennessee",2009,"Adjacent",25556,15087
"47037016600","Census Tract 166, Davidson County, Tennessee",2009,"Adjacent",35879,6061
"47037016800","Census Tract 168, Davidson County, Tennessee",2009,"Adjacent",62798,10405
"47037016900","Census Tract 169, Davidson County, Tennessee",2009,"Adjacent",68315,6599
"47037017000","Census Tract 170, Davidson County, Tennessee",2009,"Adjacent",48333,14051
"47037017100","Census Tract 171, Davidson County, Tennessee",2009,"Adjacent",45700,14252
"47037017200","Census Tract 172, Davidson County, Tennessee",2009,"Adjacent",39722,15327
"47037011300","Census Tract 113, Davidson County, Tennessee",2010,"Adjacent",23352,7995
"47037011700","Census Tract 117, Davidson County, Tennessee",2010,"Adjacent",36533,9256
"47037011800","Census Tract 118, Davidson County, Tennessee",2010,"Adjacent",18600,6804
"47037011900","Census Tract 119, Davidson County, Tennessee",2010,"Adjacent",28804,6382
"47037012100","Census Tract 121, Davidson County, Tennessee",2010,"Adjacent",52372,21064
"47037012200","Census Tract 122, Davidson County, Tennessee",2010,"Adjacent",46000,4605
"47037012600","Census Tract 126, Davidson County, Tennessee",2010,"Adjacent",21111,13844
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2010,"Adjacent",43318,5840
"47037013500","Census Tract 135, Davidson County, Tennessee",2010,"Adjacent",33625,4805
"47037013700","Census Tract 137, Davidson County, Tennessee",2010,"Adjacent",24026,4675
"47037013800","Census Tract 138, Davidson County, Tennessee",2010,"Adjacent",16413,8987
"47037013900","Census Tract 139, Davidson County, Tennessee",2010,"Adjacent",21964,7583
"47037014200","Census Tract 142, Davidson County, Tennessee",2010,"Adjacent",14968,2366
"47037014300","Census Tract 143, Davidson County, Tennessee",2010,"Adjacent",24333,6393
"47037014400","Census Tract 144, Davidson County, Tennessee",2010,"Adjacent",19219,16193
"47037015900","Census Tract 159, Davidson County, Tennessee",2010,"Adjacent",15933,3433
